occurred_at,severity,weather,period,latitude,longitude,description,address
2022-01-04 16:16:00,baja,desconocido,dia,4.135149,-73.640245,Siniestro real Secretaria Movilidad (CAMIONETA - TAXI),CALLE 15 CON CARRERA 41
2022-01-04 11:30:00,baja,desconocido,dia,4.1383448,-73.6251878,Siniestro real Secretaria Movilidad (TRACTOCAMION - AUTOMOVIL),CARRERA 22 CON CALLE 21 SUR CHORILLANO 
2022-01-04 17:15:00,baja,desconocido,dia,4.1315402,-73.6375818,Siniestro real Secretaria Movilidad (CAMION - AUTOMOVIL),CARRERA 48 CON CALLE 12B
2022-01-01 11:21:00,baja,desconocido,dia,4.1072393,-73.6551039,Siniestro real Secretaria Movilidad (AUTOMOVIL - TAXI),CARRERA 48 CON CALLE 21A SUR
2022-01-01 22:30:00,media,desconocido,noche,4.1273105,-73.5469268,Siniestro real Secretaria Movilidad (MOTO - MOTO),CARRERA 60 CON CALLE 29 RELIQUIA
2022-01-01 05:20:00,media,desconocido,noche,4.1466248,-73.6114317,Siniestro real Secretaria Movilidad (MOTO),CALLE 35 CON CARRERA 11 ESTE
2022-01-01 07:03:00,media,desconocido,dia,4.1073777,-73.6507247,Siniestro real Secretaria Movilidad (MOTO - PEATON),CARRERA 44 CON CALLE 18B
2022-01-06 17:00:00,baja,desconocido,dia,4.1466248,-73.6114317,Siniestro real Secretaria Movilidad (MOTOCARRO - CAMION - TAXI),CALLE 35 CON CARRERA 11 ESTE
2022-01-07 12:00:00,baja,desconocido,dia,4.146513,-73.639241,Siniestro real Secretaria Movilidad (CAMIONETA - TAXI),CALLE 35 CON CARRERA 37
2022-01-09 13:00:00,baja,desconocido,dia,4.0906593,-73.6650041,Siniestro real Secretaria Movilidad (AUTOMOVIL - CAMIONETA),CALLE 44 CON CARRERA 38
2022-01-05 13:20:00,baja,desconocido,dia,4.1061699,-73.6562067,Siniestro real Secretaria Movilidad (AUTOMOVIL - TRACTOCAMION),CARRERA 48 CON CALLE 23 SUR MONTECARLO
2022-01-06 11:15:00,baja,desconocido,dia,4.146282,-73.6121013,Siniestro real Secretaria Movilidad (AUTOMOVIL - VOLQUETA),CALLE 35 CON CARRERA 12
2022-01-08 11:30:00,baja,desconocido,dia,4.1563187,-73.6548665,Siniestro real Secretaria Movilidad (MICROBUS - AUTOMOVIL),CALLE 44 CON CARRERA 52 BARRIO 12 OCTUBRE
2022-01-04 09:40:00,media,desconocido,dia,4.1475246,-73.6405088,Siniestro real Secretaria Movilidad (TAXI - MOTO),CALLE 37 CON CARRERA 37 BARZAL
2022-01-03 01:38:00,media,desconocido,noche,4.1069147,-73.6552709,Siniestro real Secretaria Movilidad (TAXI - MOTO),CARRERA 48 CON CALLE 22 SUR
